StationName,lon,lat,Dist,Region
Asesewa,-0.1333,6.3833,Upper Manya,Eastern 
Ashanti-Mampong,-1.4,7.0667,Mampong,Ashanti 
Ashanti-Mampong,-1.3998,7.0514,Mampong,Ashanti 
Ashiaman,-0.0333,5.6833,Ashaiman,Greater Accra
Ashiaman,-0.0333,5.6833,Ashaiman,Greater Accra
Asidowhui,0.65,5.9,South Tongu,Volta 
Assin Bereku,-1.35,5.8667,Assin North,Central 
Assin Darmang,-1.15,5.45,Assin South,Central 
Assin Foso,-1.2833,5.7667,Assin Fosu,Central 
Assin Manso,-1.1667,5.5167,Assin South,Central 
Assin Nyankumasi,-1.2833,5.75,Assin Nyankomase,Central 
Asuakaw,-2.6167,7.7333,Asuakaw,Bono
Asuansi,-1.2333,5.3,Abura Asebu Kwamankese,Central 
Asuboi,-0.4167,5.95,Suhum/Kraboa/Coaltar,Eastern 
Asunso,-2.8667,7.3833,Dormaa Municipal,Bono 
Asuom,-0.8833,6.2667,Kwaebibirem,Eastern 
Asutsuare,0.1833,6.0667,Asutuare,Greater Accra
Asutsuare,0.1963,6.0757,Asutuare,Greater Accra
Atebubu,-0.9833,7.75,Atebubu-Amantin Municipal,Bono East 
Atiavi,0.85,5.95,Keta Municipal,Volta 
Atieku,-1.7,5.5667,Wassa East,Western 
Atroni,-2.6667,7.15,Dormaa East,Bono 
Atuabo,-2.5667,4.9833,Jomoro,Western 
Atuna,-2.7833,7.4833,Jaman,Bono
Avedotoe,0.6333,6.1333,Central Tongu,Volta 
Aveyime,0.3667,6.0333,North Tongu,Volta 
Avrebo,-2.1667,4.9167,Nzema East,Western 
Awaso,-2.2833,6.2333,BAB Municipal,Western North 
Axim,-2.2333,4.8667,Nzema East Municipal,Western 
Axim,-2.2333,4.8667,Nzema East Municipal,Western 
Ayensuako,-0.6167,5.7167,Awutu Senya,Central 
Ayikuma,-0.05,5.9167,Shai Osudoku,Eastern 
Ayirebi,-1.15,6.0833,Akyemansa,Eastern 
Babile,-2.8167,10.5167,Jirapa,Upper West
Baglo,-0.6333,7.3,Sekyere Afram Plains North,Ashanti 
Bamboi,-2.0333,8.1667,Bole,Savannah 
Bana Hill,0,6.1667,Lower Manya,Eastern 
Banda,-2.35,8.1667,Banda,Bono 
Banko,-1.3833,6.9333,Sekyere Kumawu,Ashanti 
Banko,-0.0833,8.3167,Krachi Nchumuru,Oti 
Barekese,-1.7333,6.85,Atwima Nwabiagya,Ashanti 
Basa,-0.4167,7.7833,Sene West,Bono East
Bawku,-0.2333,11.05,Bawku Municipal,Upper East
Bechem,-2.0333,7.0833,Tano South,Ahafo 
Bedeku,0.55,5.8833,Ada East,Greater Accra
Begoro,-0.3833,6.3833,Fanteakwa,Eastern 
Bejamso,0,8.0667,Krachi West,Oti 
Bekwai - Ashanti,-1.5667,6.45,Bekwai Municipal,Ashanti 
Bekwai-Ashanti,-1.5667,6.45,Bekwai Municipal,Ashanti 
Benchema,-2.7667,6.4333,Juabeso,Western 
Bende,-0.0333,10.55,Bunkpurugu Nakpanduri,Northern 
Benso,-1.9,5.15,Mpohor,Western 
Bepoase,-1.562,7.0876,Sekyere South,Ashanti 
Berekum,-2.5833,7.45,Berekum Municipal,Bono 
Bibiani,-2.35,6.4667,BAB Municipal,Western 
Bieni,-0.9333,5.8667,Achiase,Ashanti 
Bimbila,0.0667,8.85,Bimbila,Northern 
Binaba,-0.4833,10.7833,Bawku West,Upper East
Binduri,-0.3,10.9667,Binduri,Upper East
Binduri,-0.3,10.95,Binduri,Upper East
Bisa,-0.1167,6.35,Upper Manya,Eastern
Biseasi,-0.9833,5.45,Ajumako Enyan,Central
Boakyekrom,-0.4833,6.8667,Kwahu Afram Plains South,Eastern
Bobiri,-1.35,6.6833,Ejisu Juaben Municipal,Ashanti
Bodom,-1.75,7.7167,Nkoranza North,Bono East
Bodwesango,-1.4167,6.2833,Adansi Asokwa,Ashanti
Bogoso,-2.0333,5.4,Prestea- Huni Valley,Western
Bogoso,-2.0333,5.5667,Prestea- Huni Valley,Western
Bole,-2.4833,9.0333,Bole,Savannah
Bolgatanga,-0.85,10.7833,Bolgatanga Municipal,Upper East
Bolgatanga,-0.8667,10.8,Bolgatanga Municipal,Upper East
Bompata,-1.05,6.6333,Asante Akim South Municipal,Ashanti
Bondaye,-2.1667,5.4,Prestea- Huni Valley,Western
Bondaye,-2.1667,5.4,Prestea- Huni Valley,Western
Bongo,-0.8,10.9,Bongo,Upper East
Bonyere,-2.7333,5.0167,Jomoro Municipal,Western
Bopa,-2.6,6.1,Sefwi Akontombra,Western North
Borae,-0.05,8.25,Krachi Nchumuru,Oti
Boso,0.1667,6.55,Asuogyaman,Eastern
Boso,0.17,6.5464,Asuogyaman,Eastern
Bosuso,-0.4167,6.3167,Fanteakwa,Eastern
Boti Falls,-0.2,6.1,Okere,Eastern
Botoku,0.2667,6.75,North Dayi,Volta
Bowiri Odumase,0.2833,7.3333,Biakoye,Oti
Brakwa,-0.9833,5.7,Asikuma-Odoben-Brakwa,Central
Branam Camp,-2.05,7.9833,Wenchi Municipal,Bono
Breman Asikuma,-0.9833,5.5833,Asikuma-Odoben-Brakwa,Central
Breniase,0.55,8,Nkwanta South Municipal,Oti
Brimso,-1.2833,5.1833,Abura Asebu Kwamankese,Central
Brofoyedru,-1.4833,6.25,Adansi Asokwa,Ashanti
Buaku,-2.5667,6.4,Bawku East,Upper East
Bui,-2.2667,8.2833,Banda,Bono
Buipe,-1.4667,8.7833,Central Gonja,Savannah
Bunkpurugu,0.1,10.5167,Bunkpurugu-Yunyoo,Northern
Bunso,-0.4667,6.2833,Abuakwa North,Eastern
Bunso,-0.4667,6.2833,Abuakwa North,Eastern
Busa,-2.5,10.4833,Daffiama-Bussie-Issa,Upper West
Busunu,-1.5,9.15,West Gonja,Savannah
Bugri,-0.1333,10.9667,Tempane,Upper East
Cape Coast,-1.2652,5.1025,Cape Coast,Central
Cape Coast,-1.2652,5.1025,Cape Coast,Central
Cape Coast,-1.25,5.1151,Cape Coast,Central
Cape Coast,-1.2641,5.1174,Cape Coast,Central
Cape Coast,-1.25,5.1,Cape Coast,Central
Charikpong,-2.7833,10.35,Nadowli-Kaleo,Upper West
Chereponi,0.2833,10.1333,Chereponi,North East
Chinderi,-0.1333,8.15,Krachi Nchumuru,Oti
Chinderi,-0.1333,8.15,Krachi Nchumuru,Oti
Chiraa,-2.1833,7.4,Chiraa,Bono
Dabala,0.6833,5.9833,Dabala,Volta
Daboasi,-1.7,5.1333,Wassa East,Western
Daboya,-1.3833,9.5667,North Gonja,Savannah
Dadieso,-3.0333,6.1333,Suaman,Western North
Dafiema,-2.5667,10.4167,Daffiama-Bussie-Issa,Upper West
Dagonkade,-2.5667,10.4167,North East Gonja,Savannah
Dakpe,0.85,6.3667,Akatsi North,Volta
Dambai,0.2167,8.0833,Krachi East Municipal,Oti
Damongo,-1.8167,9.0667,West Gonja,Savannah
Damongo,-1.8167,9.0667,West Gonja,Savannah
Damongo,-1.8112,9.0849,West Gonja,Savannah
Danfa,-0.1667,5.7833,Ga East,Greater Accra
Dawhenya,0.05,5.7667,Ningo Prampram,Greater Accra
Dawurampong,-0.7833,5.4333,Gomoa West,Central
Debibi,-0.7833,5.4333,Tain,Bono
Dede Sawirako,-0.2667,6.5333,Fanteakwa North,Eastern
Dededo (Tiam-Awalime),0.2,6.2167,North Tongu,Volta
Dedeso,-0.2833,6.5833,Fanteakwa,Eastern
Demon,0.2,9.4833,Saboba,Northern
Denkyira Asikuma,-1.8333,5.9,Asikuma Odoben Brakwa,Central
Denu,1.1167,6.1167,Ketu South,Volta
Diabakrom,-2.9833,7.0667,Dormaa West,Bono
Diaso,-2.15,6.15,Upper Denkyira West,Central
Dixcove,-1.95,4.7833,Ahanta West,Western 
Doba,-1.0833,10.8833,Kassena-Nankana,Upper East
Dodo Amanfro,0.5167,7.8,Kajebi,Oti
Dodowa,-0.1167,5.8833,Shai Osudoku,Greater Accra
Dodowa,-0.1167,5.8833,Shai Osudoku,Greater Accra
Domenase,-0.2333,6.5167,Fanteakwa North,Eastern
Dompin No. 1,-1.6667,5.1,Shama,Western
Dompoasi,-1.5333,6.3,Adansi North,Ashanti
Donkorkrom,-0.1,7.05,Kwahu North,Eastern
Donkoro Nkwanta,-1.6667,7.4167,Nkoranza South,Bono East
Dorimon,-2.6833,10.0333,Wa West,Upper West
Dormaa Ahenkro,-2.8833,7.2833,Dormaa Ahenkro,Bono
Dormaa Ahenkro,-2.8833,7.2833,Dormaa Ahenkro,Bono
Dormaa Ahenkro,-2.8833,7.2833,Dormaa Ahenkro,Bono
Drabonso,-1.1167,7.0667,Sekyere Afram Plains North,Ashanti
Duayaw Nkwanta,-2.1,7.1667,Tano North,Ahafo
Duffor Adidome,0.1333,6.0667,Shai Osudiku,Greater Accra
Dukusen,-0.9833,6.9667,Asante Akim North,Ashanti
Dunkwa,-1.7833,5.9667,Upper Denkyira East,Central
Dunkwa,-1.7886,5.9772,Upper Denkyira East,Central
Dzita,0.7675,5.7769,Keta Municipal,Volta
Dzolokpuita,0.4333,6.7833,Ho West,Volta
Effiduasi,-1.4,6.9167,Sekyere East,Ashanti
Ehie,1,6.15,Ketu Municipal,Volta
Eikwe,-2.4667,4.9667,Ellembelle,Western
Ejura,-1.3667,7.3833,Ejura Sekyedumase,Ashanti
Ejura,-1.3667,7.3833,Ejura Sekyedumase,Ashanti
Ekrawfo,-0.9167,5.3333,Ekumfi,Central
Elmina,-1.35,5.0833,Edina,Central
Elubo,-2.7833,5.28,Jomoro,Western
Enchi,-2.8167,5.8167,Aowin,Western North
Enyan Nkodwo,-0.9667,5.35,Ajumako-Enyan-Essiam,Central
Esiam,-0.9833,5.4,Enyan,Central
Esiama,-2.35,4.9333,Nzema East,Western
Esuaso,-1.9333,5.2,Na,Western
Fawade,-1.5833,6.8,Afigya Kwabre South,Ashanti
Fiasi (Tease),-0.2667,6.9333,Kwahu Afram Plains South,Eastern
Fomena,-1.5167,6.2833,Adansi North,Ashanti
Forifori,-0.3333,6.8333,Kwahu Afram Plains South,Eastern
Foso-North,-1.2833,5.7,Assin Central Municipal,Central
Frankadua,0.5114,6.0732,Central Tongu,Volta
Fumbisi,-1.45,10.45,Bulsa South,Upper East
Fumso,-1.45,6.1,Adansi Asokwa,Ashanti
Funsi,-1.9833,10.2833,Wa East,Upper West
Fwefwe,-0.8333,6.7333,Kwahu East,Eastern
Galotse,0.6833,5.8833,South Tongu,Volta
Gambaga,-0.45,10.5333,East Mamprusi,North East
Garu,-0.1667,10.85,Garu-Tempane,Upper East
Garu,-0.1833,10.85,Garu-Tempane,Upper East
Goaso,-2.5167,6.8,Asunafo North Municipal,Ahafo
Goaso,-2.5167,6.8,Asunafo North Municipal,Ahafo
Gomoa,-0.85,5.5,Gomoa,Central
Grube,-0.2667,8.2,Krachi Nchumuru,Volta
Guabuluga,-0.7,10.4167,West Mamprusi Municipal,North East
Guashiegu,-0.2167,9.9167,Guashiegu,Northern
Gyengyen,-0.1667,7.8333,Sene East,Bono East
Half Assini,-2.8833,5.05,Jomoro Municipal,Western
Han,-2.4333,10.6833,Jirapa Municipal,Upper West
Havi,0.7833,6.0333,Akatsi South,Volta
Havi,0.7833,6.0333,Akatsi South,Volta
Helu,0.5167,7.0667,Hohoe Municipal,Volta
Hemang Twifu,-1.5333,5.4833,Heman Mpenkro,Central
Hiawa,-2.1667,5.6167,Prestea-Huni Valley Municipal,Western
Ho,0.4667,6.6,Ho Municipal,Volta
Ho,0.4667,6.6,Ho Municipal,Volta
Hodzo,0.6167,6.65,Ho Municipal,Volta
Hohoe,0.4833,7.15,Hohoe Municipal,Volta
Hohoe,0.4833,7.15,Hohoe Municipal,Volta
Honuta,0.5167,6.85,Djelokofe,Volta
Huhunya,-0.1667,6.1667,Yilo Krobo Municipal,Eastern
Huhunya,-0.1667,6.1667,Yilo Krobo Municipal,Eastern
Hwidiem,-2.35,6.9333,Asitifi,Ahafo
Inchaban,-1.6833,4.9833,Shama,Western
Insu,-1.9333,5.5833,Prestea-Huni Valley Municipal,Western
Jabeso,-2.8333,6.3333,Juabeso,Western
Jama,-2.1833,8.3,Bole,Northern
Jamasi,-1.4833,6.9667,Sekyere South,Ashanti
Japekrom,-2.7833,7.5833,Jaman South Municipal,Bono
Jasikan,0.4667,7.4167,Jasikan,Oti
Jema,-2.6833,5.4167,Aowin,Western North
Jerigo-Lagu,-0.7167,9.3167,North East Gonja,Savannah
Jirapa,-2.7,10.5333,Jirapa Municipal,Upper West
Juaso,-1.1167,6.5833,Asante Akim South,Ashanti
Jukwa,-1.3333,5.25,Twifo Hemang Lower Denkyira,Central
KIAMO-Accra,-0.168,5.6098,Okaikoi South,Greater Accra
Kade,-0.8333,6.1,Kwaebibirem,Eastern
Kade,-0.8167,6.1,Kwaebibirem,Eastern
Kade,-0.8333,6.1,Kwaebibirem,Eastern
Kade,-0.8333,6.1,Kwaebibirem,Eastern
Kadjebi,0.4833,7.5167,Kadjebi,Oti
Kalba,-2.65,9.5667,Sawla-Tuna-Kalba,Savannah
Kaleo,-2.55,10.1667,Nadowli-Kaleo,Upper East
Kanayerebo,-2.2833,6.25,BAB Municipal,Western North
Kanayerobo,-2.2833,6.25,BAB Municipal,Western North
Kankan,-0.6167,6.45,Atiwa,Eastern
Karaga,-0.4333,9.9167,Karaga,Northern
Karatashie,-0.0833,11,Tempane,Upper East
Kasunya,0.25,6.05,Shai Osudoku,Greater Accra
Katamansu,0.0833,5.7167,Ningo Prampram,Greater Accra
Katanka,-0.2833,7.6833,Sene East,Bono East
Katiejeli,-0.0333,8.4167,Kpandai,Northern
Kayoro,-1.3167,10.9833,Kasena Nankana West,Upper East
Kengen,-2.65,5,Jomoro,Western
Kenyasi,-2.65,7.0667,Asutifi North,Ahafo
Keta,0.9833,5.9167,Keta Municipal,Volta
Kete-Krachi,-0.0333,7.8167,Krachi West,Oti
Kibi,-0.55,6.1667,East Akim Municipal,Eastern
Kintampo,-1.7167,8.05,Kintampo North Municipal,Bono East
Kitare,0.1667,8.2667,Kpandai,Northern
Klukpo,0.5333,6.1333,Central Tongu,Volta
Kluma,0.15,6.2167,North Tongu,Volta
Ko,-2.5667,10.7333,Jirapa,Upper West
Kofi Pare,-0.5667,5.9333,Ayensuano,Eastern
Kofiase,-1.4833,7.1333,Mampong Municipal,Ashanti
Koforidua,-0.25,6.0833,New-Juaben Municipal,Eastern
Koforidua,-0.25,6.0833,New-Juaben Municipal,Eastern
Koforidua,0.2708,6.0864,New-Juaben Municipal,Eastern
Kojopere,-2.25,10.35,Daffiama Bussie Issa,Upper West
Kokoti,-1.6833,6.9333,Ofinso,Ashanti
Kologu,-1.0833,10.7333,Kasena Nankana East,Upper East
Komenda,-1.4833,5.05,Na,Central
Komenda,-1.5011,5.0664,Na,Central
Konongo,-1.2167,6.6167,Asante Akim Central,Ashanti
Konongo,-1.2167,6.6167,Asante Akim Central,Ashanti
Kpandae,-0.0167,8.4333,Kpandai,Northern
Kpando,0.2833,7,Kpando Municipal,Volta
Kpando,0.2833,7,Kpando Municipal,Volta
Kpando,0.2813,6.9991,Kpando,Volta 
Kpedze,0.0333,7.9333,Ho-West,Volta 
Kpedzeglo Mafi,0.55,6.2333,Hohoe,Volta 
Kpetoe Botoe,0.7,6.55,Agortime Ziope,Volta 
Kpeve,0.3333,6.6833,South Dayi,Volta 
Kpong,0.0667,6.15,Kpone Katamanso,Greater  Accra
Kpong,0.068,6.1685,Kpone Katamanso,Greater  Accra
Kpoviadzi,0.7,6.2,Central Tongu,Volta 
Krachi Nkwanta,0.5,8.2667,Krachi West,Oti 
Krachi Nkwanta,0.5167,8.2667,Krachi West,Oti 
Kudani,0.0167,10.2,Gushegu Municipal,Northern
Kue,0.5833,8.5167,Nkwanta South,Oti 
Kugri,-0.2833,10.7667,Garu Tempane,Upper East
Kukuom Ahafo,-2.45,6.7,Asunafo South,Ashanti 
Kukurantumi,-0.3667,6.1833,Abuakwa North,Eastern 
Kumasi,-1.5916,6.7169,Kumasi,Ashanti 
Kumasi,-1.6,6.7167,Kumasi,Ashanti 
Kumasi,-1.6,6.7167,Kumasi,Ashanti 
Kumasi,-1.6453,6.6639,Kumasi,Ashanti 
Kumasi,-1.6,6.7167,Kumasi,Ashanti 
Kumawu,-1.2667,6.9,Sekyere Kumawu,Ashanti 
Kumbungu,-0.95,9.55,Kumbungu,Northern
Kunkungu,-1.75,10.1333,Kumbungu,Northern
Kunsu,-1.0833,6.4667,Asante Akim South,Ashanti 
Kusawgu,-1.0333,9.2,Gonja Central,Northern
Kusi,-0.8667,6.0333,Denkyembour,Eastern 
Kwabeng,-0.5833,6.3167,Atiwa,Eastern 
Kwadaso,-1.65,6.7,Kumasi,Ashanti 
Kwamang,-1.6167,6.8833,Sekyere Kumawu,Ashanti 
Kwame Danso,-0.6833,7.7333,Sene West,Bono East
Kwamikrom,0.3167,7.3167,Biakoye,Oti 
Kwanyako,-0.6333,5.6,Agona East,Central
Lawra,-2.8667,10.65,Lawra,Upper West
Legon,-0.1833,5.65,Ga East,Greater  Accra
Leklebi Dafo,0.5,6.9667,Afadzato South,Volta 
Likpe,0.6167,7.1833,Guan,Oti 
Lupunya,0.2333,6.0833,Shai Osudoku,Greater  Accra
Mafi Anfoe,0.1667,6.3333,Bisikrom,Eastern 
Malshugu,-0.8833,9.4667,Tamale,Northern
Mamobi,-0.1989,5.5917,Ayawaso East Sub Metro,Greater  Accra
Mampong-Akwapim,-0.15,5.9167,Akwapem North,Eastern 
Manga Bawku,-0.2667,11.0167,Bawku Municipal,Upper East
Mangoase,-0.2833,5.95,Akwapem North,Eastern 
Mankango,-0.6,8.3333,North East Gonja,Savannah
Mankesim,-1.0167,5.2667,Mfantsiman,Central
Mankranso,-1.8667,6.8167,Ahafo Ano South,Ashanti 
Manso Amenfi,-2.25,5.6333,Wassa Amenfi Central,Western
Manso Wassaw,-1.8333,5.0833,Mpohor,Western 
Mape/Omape,-2.7333,5.6,Aowin,Western North
Marbang,-1.7333,6.8167,Atwima Nwabiagya North,Ashanti 
Maso,-1.85,7.7167,Nkoranza North,Bono East
Matse Have,0.4833,6.6833,Ho Municipal,Volta 
Mem Chemfere,-0.05,6.95,Kwahu Afram Plains North,Eastern 
Mem Chemfere,-0.05,6.95,Kwahu Afram Plains North,Eastern 
Menuso,0.5167,7.5667,Kadjebi,Oti 
Mepe,0.4333,6.0667,North Tongu,Volta 
Mepom,-0.6,5.8,Upper West Akim,Eastern 
Mframa,-0.7,7.6333,Sene,Bono East
Mim,-2.55,6.9,Asunafo North,Ahafo
Mirigu,-0.9833,10.9,Kasenna Nankana,Upper East
Mobole,-0.0167,5.8167,Ningo Prampram,Greater  Accra
Mole,-2.038,9.5069,West Gonja,Savannah
Morontuo,-1.4333,6.4667,Bosome Frehor,Ashanti 
Mpakadan,0.1167,6.3167,Asuogyeman,Eastern 
Mpataba,-2.5833,5.1,Jomoro,Western
Mpehuasem,-0.1645,5.652,Ayawaso,Greater  Accra
Mpesaso,-2.1333,6.8,Ahafo Ano South,Ashanti 
Mpeyo,0.55,7.7833,Kadjebi,Oti 
Mpraeso,-0.7333,6.5833,Kwahu South,Eastern 
Nadawli,-2.6667,10.3667,Nadwoli,Upper West
Nakrong,-1.4667,10.8,Kasenna Nankana,Upper East
